id,name,size,subcategory_id
9723d390-b824-4cd1-b669-73448a27c7fd,تي لحام 160 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
2c5d2876-b6f7-4051-9c70-20e2f86d41a6,تي لحام 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
be725809-5da2-40aa-8714-aa2c4c2a0940,تي لحام 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
7491c710-dd2c-40f7-b9d8-3bbd823becb6,تي لحام 25 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
e6d33ff8-0266-4a93-ba55-378ccdabcd30,تي لحام 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
738c068b-b353-4805-8eb4-f1443776f7a1,تي لحام 32 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ff324cf9-f9d2-4658-b62f-234cbc68732e,تي لحام 40 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
6feb4a2a-8e9c-46c6-9518-55ce658535b2,تي لحام 40 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
46bf120b-8b1d-4b5e-ac66-2bf763c2de27,تي لحام 50 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a66d53a8-c6a6-444e-98eb-607345424df7,تي لحام 50 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
1a0aac6d-fba2-4c06-b40b-048a6ff94a19,تي لحام 63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ec89d433-b58a-48ea-8e10-ede492cb9374,تي لحام 63 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
0454bf21-859c-4a48-86b1-9d93e4ccec22,تي لحام 75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a744627b-9d10-4f4c-bd93-321ae6082f27,تي لحام 90 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ecac71f9-8e38-453d-8d9e-924d2d8d8f03,تي لحام كورنر 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
247becf7-bc94-41a9-a1f8-84015fed8923,تي لحام مسلوب 110/160 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
e6f32f16-1bb9-4f3a-95c6-1cb4ddfce491,تي لحام مسلوب 20/25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
2aa66aae-bb4d-40d5-951b-4e48b59e7ec5,تي لحام مسلوب 20/32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
1f0d1f29-e857-4e74-883b-51ba0e456980,تي لحام مسلوب 20/32 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a53376c6-8ede-41c2-a6ef-161fc2921027,تي لحام مسلوب 20/40 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
7e29ba04-4d60-48c5-90f2-b46e1837e938,تي لحام مسلوب 20/50 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a3504929-b1cf-4398-b56d-d523a34ccdff,تي لحام مسلوب 20/63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
b4fe8a08-8d5f-4be4-853d-12401996e1fa,تي لحام مسلوب 20/75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
2ac01c79-0dfb-45b7-a2ff-e9e091ef8f70,تي لحام مسلوب 25/32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a24eaa5d-3dbf-493a-b251-95a0b547a387,تي لحام مسلوب 25/32 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
afefb76e-6678-421e-8360-331a415d5065,تي لحام مسلوب 25/40 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
e47d1f7a-c4d7-4eca-959e-2d355134dd84,تي لحام مسلوب 25/50 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
60cde354-d015-48ef-ab1c-555c66298089,تي لحام مسلوب 25/50 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
93198720-3c5e-48b7-83ca-08f3f451b9f0,تي لحام مسلوب 25/63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
0de0c09e-497f-4fab-9b15-d59443d378d9,تي لحام مسلوب 25/75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
4d78ba66-507c-44bb-b798-70f60cb3c7ed,تي لحام مسلوب 32/40 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
eebde17f-0da4-45a7-8240-4b73c4da99cc,تي لحام مسلوب 32/40 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
305e0f15-361f-44a7-818e-42c28f182b4b,تي لحام مسلوب 32/50 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
aa59981a-4b0f-4bdb-8a6a-6366a5aab3f4,تي لحام مسلوب 32/50 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
c7825803-f771-451c-84b1-295cf86ed46b,تي لحام مسلوب 32/63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ac982841-72d7-4dc3-9dbf-47ddf68ac232,تي لحام مسلوب 32/63 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a6d4b492-de2e-4247-acb8-56a984fc793c,تي لحام مسلوب 32/75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
c119afe0-ba78-43c9-b7d3-4f68ad10a1e0,تي لحام مسلوب 40/50 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
79dde0fc-f1b9-41a8-8b24-0b0501f485ce,تي لحام مسلوب 40/63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
9b2fdc04-052e-4402-9f6c-2577612a0976,تي لحام مسلوب 40/75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
d10d8de9-564a-4114-ada1-e9dad7fd0c72,تي لحام مسلوب 50/63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
85195ffd-4997-4abc-ad1e-71353ce5fabe,تي لحام مسلوب 50/63 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
06ade9d5-3ee5-424e-89d6-8902c48a045f,تي لحام مسلوب 50/75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
c3355886-be4b-468e-9c77-b67f05521a8a,تي لحام مسلوب 63/110 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
03e307c4-debe-4f2c-950f-96d3336ad9c7,تي لحام مسلوب 63/75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
7693887f-8bf8-4b40-9f56-1f1f7a312beb,تي لحام مسلوب 63/90 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
b2e7f9cf-a35d-4d4a-9c23-85b0b31f065f,تي لحام مسلوب 75/110 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
45db840c-bcb1-4ed6-9ae4-f8c8fddd3549,تي لحام مسلوب 75/90 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
73201a27-89d5-4046-8aae-df1e0362d0d9,تي لحام مسلوب 90/110 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
